"acquiredby","magazine","website"
"acquiredby","mediacompany","website"
"acquiredby","mountainrange","organization"
"acquiredby","museum","biotechcompany"
"acquiredby","museum","recordlabel"
"acquiredby","newspaper","website"
"acquiredby","organization","bank"
"acquiredby","organization","biotechcompany"
"acquiredby","organization","company"
"acquiredby","organization","organization"
"acquiredby","petroleumrefiningcompany","petroleumrefiningcompany"
"acquiredby","planet","company"
"acquiredby","politicsblog","blog"
"acquiredby","politicsblog","company"
"acquiredby","politicsblog","website"
"acquiredby","publication","building"
"acquiredby","radiostation","company"
"acquiredby","radiostation","televisionnetwork"
"acquiredby","recordlabel","biotechcompany"
"acquiredby","recordlabel","company"
"acquiredby","recordlabel","recordlabel"
"acquiredby","restaurant","company"
"acquiredby","retailstore","blog"
"acquiredby","retailstore","company"
"acquiredby","retailstore","retailstore"
"acquiredby","stadiumoreventvenue","company"
"acquiredby","televisionnetwork","recordlabel"
"acquiredby","televisionstation","televisionnetwork"
"acquiredby","website","biotechcompany"
"acquiredby","website","blog"
"acquiredby","website","company"
"acquiredby","website","newspaper"
"acquiredby","website","recordlabel"
"acquiredby","website","televisionnetwork"
"acquiredby","website","website"
"acquiredby","website","winery"
"acquiredby","winery","company"
"actorcanbethesameasathlete","actor","athlete"
"actorcanbethesameasathlete","male","athlete"
"actorcanbethesameasathlete","personasia","personmexico"
"actorofprotest","person","protestevent"
"actorstarredinmovie","actor","creativework"
"actorstarredinmovie","actor","movie"
"actorstarredinmovie","athlete","movie"
"actorstarredinmovie","celebrity","movie"
"actorstarredinmovie","comedian","movie"
"actorstarredinmovie","director","movie"
"actorstarredinmovie","female","movie"
"actorstarredinmovie","male","creativework"
"actorstarredinmovie","male","movie"
"actorstarredinmovie","person","movie"
"actorstarredinmovie","personafrica","movie"
"actorstarredinmovie","personasia","movie"
"actorstarredinmovie","personcanada","movie"
"actorstarredinmovie","personeurope","movie"
"actorstarredinmovie","personnorthamerica","movie"
"actorstarredinmovie","personus","movie"
"actorstarredinmovie","professor","movie"
"actorsuchasactor","actor","actor"
"actorsuchasactor","actor","male"
"actorsuchasactor","actor","personus"
"actorsuchasactor","actor","professor"
"actorworkedwithdirector","actor","director"
"actorworkedwithdirector","actor","personus"
"actorworkedwithdirector","celebrity","director"
"actorworkedwithdirector","personus","director"
"agentactsinlocation","agent","biotechcompany"
"agentactsinlocation","agent","building"
"agentactsinlocation","agent","city"
"agentactsinlocation","agent","company"
"agentactsinlocation","agent","country"
"agentactsinlocation","agent","county"
"agentactsinlocation","agent","geopoliticallocation"
"agentactsinlocation","agent","geopoliticalorganization"
"agentactsinlocation","agent","hotel"
"agentactsinlocation","agent","island"
"agentactsinlocation","agent","landscapefeatures"
"agentactsinlocation","agent","skiarea"
"agentactsinlocation","agent","stateorprovince"
"agentactsinlocation","agent","street"
"agentactsinlocation","agent","trainstation"
"agentactsinlocation","agent","transportation"
"agentactsinlocation","airport","city"
"agentactsinlocation","animal","attraction"
"agentactsinlocation","animal","city"
"agentactsinlocation","animal","geopoliticallocation"
"agentactsinlocation","animal","geopoliticalorganization"
"agentactsinlocation","animal","stateorprovince"
