category_name;englishName;populate;generalizations;mutexExceptions;instanceType;seedInstances
mlArea;machine learning areas;TRUE;abstractThing;mlAlgorithm;all;" ""supervised learning"" clustering ""feature selection"" ""kernel methods"" ""Neural Networks"" ""Information Extraction"" ""Bayesian Inference"" ""Graphical Models"" ""statistical machine learning"" ""statistical learning theory"" ""structure learning"" ""computational learning theory"" ""semi-supervised learning"" ""reinforcement learning"""
mlDataset;machine learning data sets;TRUE;abstractThing;;all;" ""Iris"" ""CORA"" ""Abalone"" Spambase ""20 Newsgroups"" ""Penn Treebank"" ""DBLP"" MUC-7 ""Netflix data"" "
mlMetric;machine learning evaluation metrics;TRUE;abstractThing;;all;"precision recall ""ROC curve"" ""mean average precision"" ""BLEU"" AUC perplexity ""F measure"""
mlSoftware;machine learning software;TRUE;abstractThing;;all;Minorthird Weka libsvm SVMlight L-BFGS CART SNoW Lemur Indri WinBUGS
movie;movies;TRUE;abstractThing;;proper;" ""The Sound of Music"" ""Star Wars"" ""The Lion King"" ""The Pianist"" ""The Godfather"" ""The Court Jester"" ""The Matrix"" ""National Treasure"" ""An American in Paris"" ""Shrek"" ""North by Northwest"" ""Raging Bull"" ""Empire Strikes Back"" ""The Sixth Sense"" ""Jaws"""
musicAlbum;albums;TRUE;abstractThing;;proper;" ""Abbey Road"" ""The Joshua Tree"" ""Thriller"" ""Rumours"" ""Jagged Little Pill"" ""Led Zeppelin IV"" ""Immaculate Collection"" ""Appetite for Destruction"" ""Nevermind"" ""Hybrid Theory"""
musicGenre;music genres;TRUE;abstractThing;;all;" ""rock"" ""pop"" ""hip-hop"" ""classical"" ""punk"" ""funk"" ""r&b"" ""indie"" ""ska"" ""reggae"" ""easy listening"" ""rap"" ""heavy metal"" ""soul"""
ethnicGroup;nationalities;TRUE;abstractThing;;proper;" ""Americans"" ""Brazilians"" ""British"" ""Chinese"" ""Dutch"" ""English"" ""French"" ""Germans"" ""Indians"" ""Romanians"""
perceptionAction;perceptual actions;TRUE;abstractThing;;common;listening seeing hearing smelling observing watching reading peeking staring beholding
perceptionEvent;perceptual events;TRUE;abstractThing;;common;sound light flash cacophony blare beam glint roar clamor wail 
physicalAction;physical actions;TRUE;abstractThing;;common;hitting touching poking grasping sitting standing running jumping licking punching
physicalCharacteristic;physical characteristics;TRUE;abstractThing;;common;hardness heaviness fluffiness smallness bigness floppiness tallness shortness lankiness swiftness
physicsTerm;physics terms;TRUE;abstractThing;;common;" ""acceleration"" ""direction"" ""force"" ""gravity"" ""velocity"" ""speed"" ""mass"" ""displacement"" ""momentum"" ""weight"" ""motion"" ""distance"" ""vector"" ""friction"" ""intertia"""
profession;professions;TRUE;abstractThing;;common;" ""cooks"" ""doctors"" ""lawyers"" ""teachers"" ""athletes"" ""CEOs"" ""presidents"" ""vice presidents"" ""accountants"" ""professors"" ""managers"" ""janitors"" ""biologists"" ""chemists"" ""pilots"""
socioPolitical;sociopolitical words;TRUE;abstractThing;;common;" ""democracy"" ""freedom"" ""innocence"" ""justice"" ""tyranny"" ""anarchy"" ""resistance"" ""revolution"" ""progress"" ""dictatorship"" ""propaganda"" ""war"" ""independence"" ""terrorism"""
sport;sports;TRUE;abstractThing;hobby;all;" ""badminton"" ""baseball"" ""basketball"" ""boxing"" ""curling"" ""football"" ""hockey"" ""polo"" ""skiing"" ""soccer"" ""swimming"" ""tennis"" ""volleyball"" ""water polo"" ""wrestling"""
visualArtForm;visual art forms;TRUE;abstractThing;hobby;common;" ""painting"" ""etching"" ""printmaking"" ""photography"" ""sculpture"" ""installation art"" ""drawing"" ""ceramics"" ""lithography"" ""screen printing"" ""collage"" ""mixed media"" ""mosaic"" ""comics"" ""performance art"""
visualArtMovement;visual art movements;TRUE;abstractThing;;proper;" ""Italian Renaissance"" ""Cubism"" ""Impressionism"" ""Expressionism"" ""Postmodernism"" ""Neo-Dada"" ""Pop Art"" ""Surrealism"" ""Conceptual Art"" ""Realism"" ""Minimalism"" ""Romanticism"" ""Baroque"" ""Neoclassicism"" ""Fauvism"""
