category_name;englishName;populate;generalizations;mutexExceptions;instanceType;seedInstances
celebrity;celebrities;TRUE;person;male female actor athlete musician writer visualArtist chef;proper;" ""Tom Cruise"" ""Alex Rodriguez"" ""Beyonce"" ""Mariah Carey"" ""Robert De Niro"" ""Gisele"" ""Andy Warhol"" ""Madonna"" ""Britney Spears"" ""Demi Moore"" ""Jessica Simpson"" ""Michael Jackson"" ""Mick Jagger"" ""Justin Timberlake"" ""Jon Stewart"""
ceo;CEOs;TRUE;person;male female;proper;" ""Alain Belda"" ""Daniel Amos"" ""David Brown"" ""Edgar Bronfman"" ""Edward Johnson"" ""Jason Jiang"" ""Jeff Bezos"" ""John Antioco"" ""Kirk Kerkorian"" ""Richard Notebaert"" ""Rupert Murdoch"" ""Warren Buffett"" ""Steve Ballmer"" ""Steve Jobs"" ""Eric Schmidt"""
coach;coaches;TRUE;person;male female;proper;" ""Bobby Bowden"" ""Dave Wannstedt"" ""Doc Rivers"" ""Jay Triano"" ""Joe Paterno"" ""John Russell"" ""Larry Brown"" ""Les Miles"" ""Lovie Smith"" ""Mike Scioscia"" ""Mike Shanahan"" ""Mike Sherman"" ""Pete Carroll"" ""Phil Jackson"" ""Ron Zook"""
female;women;TRUE;person;actor athlete celebrity ceo coach journalist politician scientist musician writer chef visualArtist mlAuthor;proper;" ""Madonna"" ""Barbara Boxer"" ""Hillary Clinton"" ""Catherine Zeta-Jones"" ""Helen Keller"" ""Britney Spears"" ""Halle Berry"" ""Jessica Alba"" ""Beyonce"" ""Mariah Carey"" ""Aretha Franklin"" ""Serena Williams"" ""Anne Frank"" ""Michelle Obama"" ""Barbara Walters"""
journalist;journalists;TRUE;person;male female;proper;" ""Ron Cook"" ""Mark Madden"" ""Dave Anderson"" ""Ira Berkow"" ""Henry Schulman"" ""Susan Slusser"" ""Bill Plaschke"" ""T.J. Simers"" ""Bill Dwyre"" ""Harvey Araton "" ""William C. Rhoden "" ""George Vecsey "" ""Bob Ford"" ""Phil Sheridan"" ""Teddy Greenstein"" ""Chris Kuc"""
male;men;TRUE;person;actor athlete celebrity ceo coach journalist politician scientist musician writer chef visualArtist mlAuthor;proper;" ""Barack Obama"" ""Tom Cruise"" ""John Lennon"" ""Bill Gates"" ""Tom Mitchell"" ""Albert Einstein"" ""Alex Rodriguez"" ""Bill Clinton"" ""Paul McCartney"" ""Bobby Bowden"" ""Dave Wannstedt"" ""Andrew McCallum"" ""Andy Warhol"" ""Justin Timberlake"" ""John McCain"" ""Brad Pitt"" ""Heath Ledger"""
musician;musicians;TRUE;person;male female celebrity musicArtist visualArtist;proper;" ""John Lennon"" ""Paul McCartney"" ""Mick Jagger"" ""David Bazan"" ""Yo Yo Ma"" ""Evan Dando"" ""Feist"" ""Sufjan Stevens"" ""Elliott Smith"" ""Joshua Bell"" ""Bob Dylan"" ""Elvis Presley"" ""Ray Charles"" ""Elton John"" ""Aretha Franklin"""
politician;politicians;TRUE;person;male female;proper;" ""Barack Obama"" ""Barbara Boxer"" ""Barney Frank"" ""Dmitry Medvedev"" ""Felipe Calderon"" ""Harry Reid"" ""Hillary Clinton"" ""Jimmy Carter"" ""Joe Biden"" ""Luke Ravenstahl"" ""Nicolas Sarkozy"" ""Richard Daley"" ""Roger Sherman"" ""John McCain"" ""Stephen Harper"""
scientist;scientists;TRUE;person;male female mlAuthor;proper;" ""Albert Einstein"" ""Blaise Pascal"" ""Charles Darwin"" ""Edward Teller"" ""Enrico Fermi"" ""Ernest Rutherford"" ""Francis Crick"" ""Freeman Dyson"" ""Galileo Galilei"" ""Isaac Newton"" ""Max Planck"" ""Niels Bohr"" ""Richard Feynman"" ""Robert Oppenheimer"" ""Stephen Hawking"""
visualArtist;visual artists;TRUE;person;musician celebrity male female;proper;" ""Leonardo da Vinci"" ""Pablo Picasso"" ""Auguste Rodin"" ""Vincent van Gogh"" ""Robert Rauschenberg"" ""Frida Kahlo"" ""Claude Monet"" ""Andy Warhol"" ""Rene Magritte"" ""Robert Morris"" ""Nancy Graves"" ""Cindy Sherman"" ""Edward Hopper"" ""Alexander Calder"" ""Sam Taylor-Wood"""
writer;writers;TRUE;person;celebrity female male;proper;" ""Stephen Dubner"" ""Robert Kiyosaki"" ""Arthur Agatston"" ""Dan Brown"" ""J.K. Rowling"" ""Rick Warren"" ""James Joyce"" ""F . Scott Fitzgerald"" ""Aldous Huxley"" ""John Steinbeck"""
videoGame;video games;TRUE;product;;all;" ""Super Mario Brothers"" ""Halo 3"" ""Doom"" ""Call of Duty"" ""Mario Kart Wii"" ""Gran Turismo"" ""Super Mario 64"" ""Grand Theft Auto"" ""Tetris"" ""Guitar Hero III"""
consumerElectronicItem;consumer electronics;TRUE;item;;all;" ""video games"" ""computer software"" ""operating systems"" ""inkjet printers"" ""laptops"" ""LCD monitors"" ""game consoles"" ""speakers"" ""earbuds"" ""headphones"" ""external harddrives"" ""memory card readers"" ""computers"""
officeItem;office supplies;TRUE;item;;common;"staplers scissors binders pens envelopes ""index cards"" paperclips ""file folders"" pencils notepads"
personalCareItem;personal care products;TRUE;item;;all;" ""toothpaste"" ""deodorant"" ""dental floss"" ""hair brush"" ""nail clippers"" ""soap"" ""shampoo"" ""lotion"" ""hand sanitizer"" ""lip balm"" ""cotton swab"""
magazine;magazines;TRUE;publication;;proper;" ""Readers Digest"" ""National Geographic"" ""People"" ""Time"" ""Newsweek"" ""Economist"" ""Cosmopolitan"" ""Playboy"" ""TapeOp"" ""Highlights"" ""Elle"" ""Parenting"" ""Rolling Stone"" ""New Yorker"" ""Atlantic Monthly"""
newspaper;newspapers;TRUE;publication;;proper;" ""Pittsburgh Post-Gazette"" ""Pittsburgh Tribune"" ""New York Times"" ""London Times"" ""Washington Post"" ""San Francisco Chronicle"" ""LA Times"" ""Philadelphia Enquirer"" ""New York Post"" ""Herald Tribune"" ""Wall Street Journal"" ""Chicago Tribune"" ""Financial Times"" ""Toronto Star"" ""International Herald Tribune"""
mlAuthor;machine learning authors;TRUE;person;scientist male female;proper;" ""Tom Mitchell"" ""Andrew McCallum"" ""William Cohen"" ""Daphne Koller"" ""Yoram Singer"" ""Nir Friedman"" ""Sebastian Thrun"" ""David Heckerman"" ""John Lafferty"" ""Manfred Warmuth"" ""Geoffrey Hinton"" ""Tom Dietterich"" ""Stuart Russell"" ""Peter Bartlett"""
sportsGame;sports games;TRUE;sportsEvent;;all;" ""2001 Super Bowl"" ""2002 Stanley Cup"" ""1999 World Series"" ""last Sunday 's match"""
amphibian;amphibians;TRUE;vertebrate;;common;" ""frogs"" ""salamanders"" ""toads"" ""golden toads"" ""caecilians"" ""poison dart frogs"" ""ghost frogs"" ""tree frogs"" ""burrowing toads"" ""spadefoots"" ""mudpuppies"" ""waterdogs"" ""congo eels"" ""mole salamanders"" ""sirens"""
bird;birds;TRUE;vertebrate;;common;" ""robins"" ""blackbirds"" ""cardinals"" ""orioles"" ""geese"" ""ducks"" ""swans"" ""flamingos"" ""pelicans"" ""penguins"" ""turkeys"" ""chickens"" ""woodpeckers"" ""bluejays"" ""swallows"""
fish;fish;TRUE;vertebrate;;common;" ""sharks"" ""anchovies"" ""bass"" ""anglers"" ""cod"" ""haddock"" ""salmon"" ""goldfish"" ""red snappers"" ""herrings"" ""catfish"" ""halibut"" ""pike"" ""sturgeon"" ""tuna"""
mammal;mammals;TRUE;vertebrate;;common;" ""bears"" ""cats"" ""dogs"" ""horses"" ""cows"" ""guinea pigs"" ""rats"" ""rabbits"" ""zebras"" ""elephants"" ""shrews"" ""bats"" ""giraffes"" ""hedgehosg"" ""armadillos"""
reptile;reptiles;TRUE;vertebrate;;common;" ""alligators"" ""bearded dragons"" ""chameleons"" ""snakes"" ""tortoises"" ""turtles"" ""crocodiles"" ""rattlesnakes"" ""iguanas"" ""lizards"" ""pythons"" ""boas"" ""vipers"" ""mud turtles"" ""geckoes"""
blog;blogs;TRUE;website;;proper;" ""Huffington Post"" ""TechCruch"" ""Mashable"" ""Gizmodo"" ""Engadget"" ""Google Blog"" ""Boing Boing"" ""Lifehacker"" ""Ars Technica"" ""TMZ.com"" ""Gawker"" ""Smashing Magazine"" ""Daily Kos"" ""TreeHugger"" ""Autoblog"""
mediaCompany;media companies;FALSE;company;website;proper;
dayOfWeek;;FALSE;date;;proper;" ""Monday"" ""Tuesday"" ""Wednesday"" ""Thursday"" ""Friday"" ""Saturday"" ""Sunday"""
month;months;FALSE;date;;proper;" ""January"" ""February"" ""March"" ""April"" ""May"" ""June"" ""July"" ""August"" ""September"" ""October"" ""November"" ""December"""
televisionNetwork;;FALSE;mediaCompany;;proper;" ""ABC"" ""NBC"" ""CBS"" ""Fox"" ""PBS"" ""CW"" ""Independent"""
person;people;FALSE;agent;;proper;
monument;monuments;TRUE;building;;proper;"""Eiffel Tower"" ""The White House"" ""Christo Rei"" ""Taj Mahal"" ""Stonehenge"" ""Washington Monument"" ""Statue of Liberty"" ""Great Pyramid"" ""Vimy Ridge   Memorial"" ""Arc de Triomphe"""
stadiumOrEventVenue;stadiums;TRUE;building;;proper;" ""PNC Park"" ""Yankee Stadium"" ""Wrigley Field"" ""Wembley Stadium"" ""Morumbi Stadium"" ""Stade de France"" ""Stadium Australia"" ""Azadi Stadium"" ""Camp Nou"" ""Georgia Dome"" ""Qwest Field"" ""Memorial Stadium"" ""Fenway Park"" ""Heinz Field"" ""Mellon Arena"""
protein;proteins;TRUE;abstractThing;;all;" ""ATP-binding cassette"" ""interleukin-2"" ""epidermal growth factor"" ""EGF receptor"" ""c-jun"" ""phoP"" ""RET proto-oncogene"" ""e-mycin"" ""chloramphenicol acetyltransferase"" ""NF kappa B"" ""aldosterone receptor"" ""RNA polymerase"" ""cyclophilin"" ""sirtuin"" ""tumor necrosis factor alpha"""
website;websites;TRUE;company;mediaCompany;proper;" ""Google"" ""Facebook"" ""Yahoo"" ""YouTube"" ""Windows Live"" ""Wikipedia"" ""Blogger"" ""Microsoft Network"" ""Baidu.com"" ""Myspace"" ""Twitter"" ""WordPress"" ""RapidShare"" ""Bing"" ""Amazon"""
mlConference;machine learning conferences;TRUE;conference;;all;" ""ICML"" ""KDD"" ""PKDD"" ""SIGMOD"" ""NIPS"" ""WWW"" ""WebKDD"" ""ACL"" ""EMNLP"" ""ECML"" ""ICWSM"" ""ICDM"" ""UAI"" ""CIKM"""
hotel;hotels;TRUE;building;company;proper;"""Grand Hyatt Dubai"" ""The Drake"" ""Plaza Hotel"" ""Hyatt Regency Grand Cayman"" ""Ritz Carlton Hotel"" ""Gaylord Opryland Resort"" ""JW Marriott Hotel Bangkok"" ""Disney 's Pop Century Resort"" ""Sheraton"" ""Hyatt Regency"" ""Four Seasons"" ""Accor Hotels"" ""Holiday Inn"""
museum;museums;TRUE;building;;proper;"Louvre ""British Museum"" ""Metropolitan Museum of Art"" ""American Museum of Natural History"" ""Smithsonian National Postal Museum"" ""Royal Ontario Museum"" ""National Folk Museum of Korea"" ""National Museum of African American History"" ""National Museum of American History"" ""Guggenheim Museum"" ""Melbourne Museum"""
chef;chefs;TRUE;person;celebrity female male;proper;" ""Thomas Keller"" ""Julia Child"" ""James Beard"" ""Nigella Lawson"" ""Alice Waters"" ""Fernand Point"" ""Paula Deen"" ""Anne Burrell"" ""Nancy Silverton"" ""Dominique Bouchet"" ""Dave Lieberman"" ""Bobby Flay"""
restaurant;restaurants;TRUE;building;company;proper;"""French Laundry"" ""La Grenouille"" ""Le Cirque"" ""Commander 's Palace"" ""Spago"" ""Olympia Cafe"" ""Versailles Restaurant"" ""The Fat Duck"" ""Chez Panisse"" ""Gramercy Tavern"""
park;parks;TRUE;location;;proper;"""Central Park"" ""Schenley Park"" ""Millenium Park"" ""Golden Gate Park"" ""Boston Common"" ""Belle Isle Park"" ""Balboa Park"" ""Luxembourg Gardens"" ""Oosterpark"" ""Piedmont Park"" ""Stanley Park"""
religion;religions;TRUE;abstractThing;;proper;Catholicism Islam Sikhism Jainism Shinto Taoism Protestantism Christianity Hinduism Buddhism
